target_churn,target_contract,target_payment
No,One year,Credit card (automatic)
Yes,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Mailed check
Yes,Month-to-month,Bank transfer (automatic)
No,One year,Credit card (automatic)
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
No,Month-to-month,Mailed check
No,Month-to-month,Electronic check
No,One year,Electronic check
No,Month-to-month,Credit card (automatic)
No,One year,Credit card (automatic)
Yes,Month-to-month,Electronic check
No,Two year,Bank transfer (automatic)
No,Two year,Credit card (automatic)
No,Two year,Credit card (automatic)
No,Month-to-month,Electronic check
No,Two year,Bank transfer (automatic)
No,Month-to-month,Electronic check
No,Two year,Bank transfer (automatic)
No,Month-to-month,Mailed check
No,One year,Credit card (automatic)
No,Month-to-month,Credit card (automatic)
No,Two year,Electronic check
No,Month-to-month,Credit card (automatic)
No,Month-to-month,Credit card (automatic)
No,One year,Bank transfer (automatic)
No,Two year,Credit card (automatic)
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
No,One year,Credit card (automatic)
Yes,Month-to-month,Credit card (automatic)
No,Month-to-month,Electronic check
No,Two year,Mailed check
No,One year,Electronic check
No,Month-to-month,Electronic check
No,Month-to-month,Bank transfer (automatic)
No,Two year,Credit card (automatic)
No,Two year,Bank transfer (automatic)
No,Two year,Bank transfer (automatic)
No,Month-to-month,Bank transfer (automatic)
Yes,Month-to-month,Electronic check
No,Two year,Bank transfer (automatic)
No,One year,Electronic check
Yes,Month-to-month,Mailed check
No,One year,Bank transfer (automatic)
No,One year,Mailed check
No,One year,Mailed check
Yes,Month-to-month,Mailed check
No,Month-to-month,Credit card (automatic)
No,Two year,Credit card (automatic)
No,Two year,Credit card (automatic)
No,Month-to-month,Credit card (automatic)
Yes,Month-to-month,Mailed check
No,Two year,Credit card (automatic)
No,Month-to-month,Electronic check
Yes,Month-to-month,Mailed check
No,Two year,Mailed check
No,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
No,Two year,Mailed check
No,Two year,Bank transfer (automatic)
No,Two year,Bank transfer (automatic)
No,One year,Credit card (automatic)
No,Month-to-month,Electronic check
No,Month-to-month,Electronic check
No,Month-to-month,Electronic check
No,One year,Mailed check
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Mailed check
No,One year,Electronic check
No,One year,Electronic check
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
No,One year,Credit card (automatic)
No,Month-to-month,Mailed check
No,Two year,Electronic check
No,Two year,Credit card (automatic)
No,One year,Credit card (automatic)
Yes,Month-to-month,Credit card (automatic)
No,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
No,Month-to-month,Electronic check
No,Two year,Bank transfer (automatic)
No,One year,Mailed check
No,Two year,Mailed check
No,Two year,Bank transfer (automatic)
No,Month-to-month,Mailed check
Yes,Two year,Mailed check
No,Two year,Credit card (automatic)
Yes,Month-to-month,Electronic check
No,Two year,Electronic check
Yes,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Electronic check
Yes,Month-to-month,Mailed check
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
No,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Electronic check
No,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Mailed check
No,Month-to-month,Electronic check
No,Month-to-month,Mailed check
No,Month-to-month,Mailed check
Yes,Month-to-month,Mailed check
No,One year,Credit card (automatic)
No,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Credit card (automatic)
Yes,Month-to-month,Electronic check
No,One year,Mailed check
No,One year,Mailed check
No,Month-to-month,Electronic check
No,Month-to-month,Mailed check
No,Month-to-month,Mailed check
No,Two year,Electronic check
No,Month-to-month,Electronic check
No,Month-to-month,Electronic check
Yes,Month-to-month,Mailed check
No,One year,Bank transfer (automatic)
Yes,Month-to-month,Electronic check
No,Month-to-month,Electronic check
No,Two year,Credit card (automatic)
No,Month-to-month,Mailed check
No,Two year,Mailed check
Yes,Month-to-month,Electronic check
No,Two year,Mailed check
No,Month-to-month,Electronic check
No,One year,Credit card (automatic)
No,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Electronic check
No,Two year,Credit card (automatic)
No,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
No,One year,Credit card (automatic)
No,Two year,Credit card (automatic)
Yes,One year,Credit card (automatic)
Yes,Month-to-month,Electronic check
No,Month-to-month,Credit card (automatic)
Yes,One year,Bank transfer (automatic)
No,Two year,Electronic check
No,Month-to-month,Electronic check
No,One year,Mailed check
No,Two year,Bank transfer (automatic)
No,Month-to-month,Credit card (automatic)
No,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
No,Month-to-month,Electronic check
No,Month-to-month,Credit card (automatic)
No,Two year,Mailed check
No,One year,Mailed check
No,One year,Credit card (automatic)
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Mailed check
Yes,One year,Bank transfer (automatic)
Yes,Two year,Electronic check
No,Two year,Electronic check
No,Month-to-month,Credit card (automatic)
Yes,Month-to-month,Electronic check
No,Month-to-month,Bank transfer (automatic)
No,Two year,Credit card (automatic)
No,Month-to-month,Bank transfer (automatic)
No,One year,Mailed check
No,One year,Credit card (automatic)
No,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
No,Two year,Bank transfer (automatic)
No,Month-to-month,Electronic check
No,One year,Bank transfer (automatic)
No,Two year,Credit card (automatic)
No,One year,Mailed check
No,Month-to-month,Electronic check
Yes,Month-to-month,Bank transfer (automatic)
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Electronic check
No,Two year,Electronic check
Yes,Month-to-month,Credit card (automatic)
No,One year,Electronic check
No,Month-to-month,Mailed check
No,Two year,Bank transfer (automatic)
No,One year,Credit card (automatic)
No,Two year,Mailed check
No,Month-to-month,Bank transfer (automatic)
Yes,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Mailed check
No,One year,Credit card (automatic)
No,Two year,Credit card (automatic)
No,One year,Mailed check
Yes,Month-to-month,Electronic check
No,Two year,Mailed check
No,One year,Credit card (automatic)
No,Month-to-month,Credit card (automatic)
No,One year,Credit card (automatic)
No,Month-to-month,Mailed check
Yes,Month-to-month,Bank transfer (automatic)
No,Two year,Electronic check
No,One year,Electronic check
No,One year,Bank transfer (automatic)
Yes,Month-to-month,Mailed check
No,Two year,Bank transfer (automatic)
Yes,Month-to-month,Credit card (automatic)
No,Two year,Bank transfer (automatic)
Yes,Month-to-month,Mailed check
Yes,Month-to-month,Electronic check
No,One year,Electronic check
No,Month-to-month,Mailed check
No,Month-to-month,Electronic check
No,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Electronic check
No,Month-to-month,Mailed check
No,Month-to-month,Electronic check
No,Two year,Credit card (automatic)
No,Month-to-month,Bank transfer (automatic)
Yes,Month-to-month,Credit card (automatic)
No,Month-to-month,Electronic check
No,One year,Mailed check
No,One year,Bank transfer (automatic)
No,One year,Credit card (automatic)
Yes,Month-to-month,Credit card (automatic)
No,One year,Bank transfer (automatic)
No,Two year,Mailed check
No,Two year,Credit card (automatic)
No,One year,Bank transfer (automatic)
No,Month-to-month,Mailed check
Yes,Month-to-month,Mailed check
Yes,Month-to-month,Mailed check
Yes,Month-to-month,Electronic check
No,One year,Bank transfer (automatic)
No,Month-to-month,Electronic check
No,Month-to-month,Electronic check
No,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Bank transfer (automatic)
No,Two year,Bank transfer (automatic)
No,Two year,Mailed check
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Mailed check
No,Month-to-month,Bank transfer (automatic)
No,One year,Credit card (automatic)
No,One year,Mailed check
No,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Bank transfer (automatic)
No,One year,Bank transfer (automatic)
No,Month-to-month,Electronic check
No,Month-to-month,Bank transfer (automatic)
No,One year,Bank transfer (automatic)
Yes,Month-to-month,Mailed check
No,Two year,Credit card (automatic)
No,Month-to-month,Electronic check
Yes,Month-to-month,Bank transfer (automatic)
No,Two year,Electronic check
No,Month-to-month,Credit card (automatic)
No,One year,Bank transfer (automatic)
No,Two year,Credit card (automatic)
No,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Mailed check
No,Month-to-month,Electronic check
No,Month-to-month,Credit card (automatic)
No,One year,Mailed check
No,Month-to-month,Electronic check
No,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Mailed check
No,Two year,Bank transfer (automatic)
No,Month-to-month,Electronic check
No,Two year,Bank transfer (automatic)
No,One year,Mailed check
No,Month-to-month,Mailed check
No,Month-to-month,Bank transfer (automatic)
Yes,Month-to-month,Electronic check
No,Two year,Mailed check
No,Month-to-month,Electronic check
No,One year,Bank transfer (automatic)
No,Two year,Bank transfer (automatic)
No,Month-to-month,Mailed check
No,Month-to-month,Electronic check
No,Month-to-month,Mailed check
No,Month-to-month,Bank transfer (automatic)
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
No,Two year,Bank transfer (automatic)
No,Two year,Mailed check
No,Two year,Electronic check
No,One year,Electronic check
No,Two year,Mailed check
Yes,Month-to-month,Electronic check
No,One year,Mailed check
Yes,Month-to-month,Electronic check
No,Month-to-month,Mailed check
No,Month-to-month,Mailed check
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
No,Month-to-month,Electronic check
No,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Bank transfer (automatic)
No,Two year,Mailed check
Yes,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Electronic check
No,One year,Bank transfer (automatic)
Yes,Month-to-month,Electronic check
No,Two year,Credit card (automatic)
No,Month-to-month,Electronic check
No,Two year,Bank transfer (automatic)
No,Two year,Bank transfer (automatic)
Yes,Month-to-month,Electronic check
No,Two year,Bank transfer (automatic)
No,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
No,One year,Bank transfer (automatic)
No,Month-to-month,Mailed check
Yes,One year,Bank transfer (automatic)
No,Month-to-month,Mailed check
No,Two year,Bank transfer (automatic)
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Bank transfer (automatic)
No,One year,Credit card (automatic)
No,Two year,Credit card (automatic)
No,One year,Bank transfer (automatic)
No,Month-to-month,Bank transfer (automatic)
No,Two year,Credit card (automatic)
Yes,Month-to-month,Electronic check
No,Month-to-month,Mailed check
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
No,Month-to-month,Mailed check
No,One year,Credit card (automatic)
No,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
No,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Credit card (automatic)
Yes,Month-to-month,Bank transfer (automatic)
No,One year,Mailed check
No,Month-to-month,Electronic check
Yes,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Credit card (automatic)
No,One year,Electronic check
No,Month-to-month,Electronic check
No,Month-to-month,Bank transfer (automatic)
Yes,Month-to-month,Bank transfer (automatic)
Yes,Month-to-month,Electronic check
No,One year,Electronic check
No,Two year,Credit card (automatic)
No,One year,Credit card (automatic)
No,Two year,Mailed check
No,Two year,Bank transfer (automatic)
No,Two year,Credit card (automatic)
No,Two year,Credit card (automatic)
No,Month-to-month,Electronic check
No,One year,Credit card (automatic)
Yes,Month-to-month,Electronic check
No,Month-to-month,Electronic check
No,Month-to-month,Bank transfer (automatic)
No,One year,Mailed check
No,One year,Credit card (automatic)
No,Two year,Bank transfer (automatic)
No,Two year,Bank transfer (automatic)
No,Month-to-month,Mailed check
No,Month-to-month,Mailed check
Yes,Month-to-month,Bank transfer (automatic)
Yes,Month-to-month,Credit card (automatic)
No,One year,Bank transfer (automatic)
Yes,Month-to-month,Mailed check
No,One year,Bank transfer (automatic)
No,One year,Bank transfer (automatic)
No,Month-to-month,Mailed check
No,Two year,Bank transfer (automatic)
No,Two year,Bank transfer (automatic)
No,Two year,Bank transfer (automatic)
No,Two year,Credit card (automatic)
Yes,Month-to-month,Bank transfer (automatic)
No,One year,Bank transfer (automatic)
No,Month-to-month,Bank transfer (automatic)
No,One year,Mailed check
No,Month-to-month,Electronic check
No,Month-to-month,Electronic check
No,One year,Electronic check
No,Month-to-month,Mailed check
No,Month-to-month,Credit card (automatic)
No,Two year,Credit card (automatic)
No,Month-to-month,Bank transfer (automatic)
No,Two year,Credit card (automatic)
No,One year,Electronic check
No,Two year,Credit card (automatic)
Yes,Month-to-month,Electronic check
No,One year,Credit card (automatic)
No,Two year,Credit card (automatic)
No,Two year,Bank transfer (automatic)
No,One year,Credit card (automatic)
Yes,One year,Credit card (automatic)
No,Month-to-month,Electronic check
No,Two year,Mailed check
No,One year,Bank transfer (automatic)
No,Month-to-month,Electronic check
No,Month-to-month,Electronic check
No,Month-to-month,Mailed check
Yes,Month-to-month,Mailed check
Yes,Month-to-month,Mailed check
Yes,Month-to-month,Electronic check
No,Month-to-month,Mailed check
No,Month-to-month,Mailed check
Yes,Month-to-month,Electronic check
No,Two year,Credit card (automatic)
No,One year,Mailed check
No,Two year,Electronic check
No,Two year,Electronic check
No,Two year,Credit card (automatic)
No,One year,Electronic check
No,Two year,Credit card (automatic)
No,Month-to-month,Credit card (automatic)
No,Month-to-month,Mailed check
Yes,Month-to-month,Mailed check
No,Two year,Mailed check
No,Month-to-month,Mailed check
No,One year,Credit card (automatic)
No,Two year,Credit card (automatic)
No,Month-to-month,Credit card (automatic)
No,One year,Mailed check
No,One year,Bank transfer (automatic)
No,Two year,Electronic check
No,One year,Bank transfer (automatic)
No,Two year,Credit card (automatic)
No,Two year,Credit card (automatic)
No,One year,Credit card (automatic)
No,Two year,Bank transfer (automatic)
Yes,Month-to-month,Bank transfer (automatic)
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Mailed check
No,Two year,Mailed check
No,One year,Credit card (automatic)
No,Two year,Bank transfer (automatic)
No,Month-to-month,Mailed check
No,Month-to-month,Credit card (automatic)
No,One year,Credit card (automatic)
No,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Bank transfer (automatic)
No,One year,Electronic check
No,One year,Electronic check
No,Two year,Mailed check
Yes,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Electronic check
No,Month-to-month,Electronic check
No,One year,Credit card (automatic)
No,Two year,Electronic check
Yes,Month-to-month,Credit card (automatic)
Yes,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Bank transfer (automatic)
No,Two year,Credit card (automatic)
No,One year,Mailed check
No,One year,Bank transfer (automatic)
Yes,Month-to-month,Electronic check
No,Two year,Bank transfer (automatic)
No,Two year,Credit card (automatic)
Yes,One year,Bank transfer (automatic)
Yes,Month-to-month,Electronic check
No,Two year,Bank transfer (automatic)
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
No,One year,Bank transfer (automatic)
No,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Mailed check
No,One year,Electronic check
Yes,Month-to-month,Electronic check
No,Month-to-month,Credit card (automatic)
Yes,Month-to-month,Bank transfer (automatic)
Yes,Month-to-month,Mailed check
No,Two year,Mailed check
No,Month-to-month,Mailed check
Yes,Month-to-month,Electronic check
No,Month-to-month,Credit card (automatic)
No,Two year,Credit card (automatic)
No,One year,Bank transfer (automatic)
Yes,One year,Mailed check
No,Month-to-month,Bank transfer (automatic)
Yes,Month-to-month,Mailed check
No,Month-to-month,Mailed check
No,Month-to-month,Mailed check
No,Two year,Mailed check
No,Two year,Bank transfer (automatic)
No,Month-to-month,Mailed check
Yes,Month-to-month,Electronic check
No,Month-to-month,Bank transfer (automatic)
Yes,Month-to-month,Mailed check
No,Two year,Bank transfer (automatic)
No,One year,Bank transfer (automatic)
No,Two year,Credit card (automatic)
Yes,Month-to-month,Mailed check
No,Month-to-month,Credit card (automatic)
Yes,Month-to-month,Electronic check
No,Two year,Electronic check
No,One year,Bank transfer (automatic)
Yes,Month-to-month,Electronic check
No,Month-to-month,Mailed check
No,Month-to-month,Bank transfer (automatic)
Yes,Month-to-month,Electronic check
No,Two year,Bank transfer (automatic)
No,Month-to-month,Credit card (automatic)
No,One year,Credit card (automatic)
No,Month-to-month,Mailed check
No,Month-to-month,Electronic check
No,One year,Bank transfer (automatic)
Yes,Month-to-month,Electronic check
No,One year,Mailed check
No,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Mailed check
No,One year,Bank transfer (automatic)
No,One year,Credit card (automatic)
Yes,Month-to-month,Credit card (automatic)
No,One year,Mailed check
No,Month-to-month,Mailed check
No,Two year,Bank transfer (automatic)
Yes,Month-to-month,Electronic check
No,One year,Bank transfer (automatic)
No,Two year,Credit card (automatic)
No,Two year,Bank transfer (automatic)
No,Month-to-month,Electronic check
No,Month-to-month,Electronic check
No,Month-to-month,Mailed check
No,Month-to-month,Mailed check
Yes,Month-to-month,Bank transfer (automatic)
No,Two year,Mailed check
No,One year,Bank transfer (automatic)
No,Month-to-month,Credit card (automatic)
No,Month-to-month,Credit card (automatic)
Yes,Month-to-month,Mailed check
No,Month-to-month,Mailed check
No,Two year,Credit card (automatic)
No,Month-to-month,Mailed check
No,Two year,Mailed check
No,Month-to-month,Credit card (automatic)
No,Two year,Bank transfer (automatic)
No,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Credit card (automatic)
No,Month-to-month,Credit card (automatic)
No,One year,Mailed check
No,Two year,Credit card (automatic)
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
No,Month-to-month,Mailed check
No,Two year,Mailed check
No,Month-to-month,Electronic check
Yes,Month-to-month,Credit card (automatic)
No,Two year,Credit card (automatic)
Yes,Month-to-month,Electronic check
No,Month-to-month,Mailed check
No,Month-to-month,Electronic check
No,Two year,Bank transfer (automatic)
No,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Credit card (automatic)
No,One year,Credit card (automatic)
No,Two year,Credit card (automatic)
No,Month-to-month,Bank transfer (automatic)
No,Two year,Bank transfer (automatic)
No,Two year,Mailed check
No,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
No,Two year,Mailed check
No,Month-to-month,Credit card (automatic)
No,Two year,Credit card (automatic)
No,Two year,Bank transfer (automatic)
No,Month-to-month,Mailed check
No,Two year,Mailed check
No,One year,Credit card (automatic)
No,Month-to-month,Mailed check
No,Two year,Credit card (automatic)
No,Month-to-month,Credit card (automatic)
No,Two year,Mailed check
No,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
No,Two year,Bank transfer (automatic)
No,Month-to-month,Mailed check
Yes,Month-to-month,Bank transfer (automatic)
No,Two year,Bank transfer (automatic)
No,Month-to-month,Mailed check
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
No,Two year,Bank transfer (automatic)
No,Two year,Mailed check
No,Month-to-month,Mailed check
No,Month-to-month,Mailed check
No,One year,Bank transfer (automatic)
No,Month-to-month,Electronic check
No,One year,Mailed check
No,Month-to-month,Credit card (automatic)
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Mailed check
Yes,Month-to-month,Mailed check
Yes,One year,Electronic check
No,Two year,Credit card (automatic)
No,Month-to-month,Mailed check
Yes,Month-to-month,Electronic check
No,One year,Credit card (automatic)
Yes,Month-to-month,Electronic check
No,Two year,Credit card (automatic)
No,Month-to-month,Mailed check
No,Month-to-month,Credit card (automatic)
Yes,Month-to-month,Electronic check
No,One year,Bank transfer (automatic)
Yes,One year,Electronic check
No,Two year,Bank transfer (automatic)
No,Month-to-month,Bank transfer (automatic)
No,One year,Electronic check
No,Two year,Bank transfer (automatic)
No,Two year,Credit card (automatic)
No,One year,Credit card (automatic)
No,Two year,Mailed check
No,Two year,Credit card (automatic)
No,Month-to-month,Credit card (automatic)
No,Month-to-month,Mailed check
No,One year,Credit card (automatic)
No,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Electronic check
Yes,One year,Electronic check
No,Two year,Credit card (automatic)
Yes,Month-to-month,Electronic check
No,Two year,Mailed check
No,Two year,Credit card (automatic)
Yes,Month-to-month,Electronic check
No,Two year,Bank transfer (automatic)
No,Month-to-month,Credit card (automatic)
No,Two year,Credit card (automatic)
Yes,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
Yes,One year,Bank transfer (automatic)
Yes,Two year,Credit card (automatic)
No,Two year,Electronic check
No,One year,Bank transfer (automatic)
No,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Mailed check
Yes,Month-to-month,Mailed check
No,One year,Bank transfer (automatic)
Yes,Month-to-month,Electronic check
No,Two year,Credit card (automatic)
No,Month-to-month,Electronic check
No,Two year,Credit card (automatic)
No,One year,Electronic check
No,Month-to-month,Credit card (automatic)
No,Two year,Credit card (automatic)
Yes,Month-to-month,Credit card (automatic)
Yes,Month-to-month,Bank transfer (automatic)
No,Month-to-month,Mailed check
Yes,One year,Electronic check
No,Month-to-month,Electronic check
Yes,One year,Electronic check
No,Two year,Credit card (automatic)
No,One year,Credit card (automatic)
No,Month-to-month,Electronic check
Yes,Month-to-month,Electronic check
No,Month-to-month,Electronic check
No,One year,Credit card (automatic)
Yes,Month-to-month,Mailed check
No,Month-to-month,Credit card (automatic)
No,Two year,Credit card (automatic)
Yes,One year,Electronic check
No,Two year,Credit card (automatic)
Yes,One year,Bank transfer (automatic)
No,Month-to-month,Bank transfer (automatic)
Yes,Month-to-month,Electronic check
No,One year,Mailed check
No,Two year,Bank transfer (automatic)
No,One year,Credit card (automatic)
No,Two year,Credit card (automatic)
No,Two year,Credit card (automatic)
No,Two year,Bank transfer (automatic)
No,Two year,Mailed check
No,Month-to-month,Mailed check
No,Month-to-month,Electronic check
No,Two year,Credit card (automatic)
Yes,One year,Electronic check
No,Two year,Credit card (automatic)
Yes,Month-to-month,Electronic check
